2019-05-07 13:01:31,484 - INFO - market_maker - run_loop - MarketReport -{'last': 5881.5, 'buy': 5881.0, 'sell': 5881.5, 'mid': 5881.0, 'tickLog': 1, 'pos': 40, 'h_lines': 5906.5, 'l_lines': 5874.5, 'last_bef': 5881.5, 'last_aft': 5881.5, 'atr': 3.65, 'sma': 5896.1}
2019-05-07 13:01:40,736 - INFO - market_maker - run_loop - MarketReport -{'last': 5881.5, 'buy': 5881.0, 'sell': 5881.5, 'mid': 5881.0, 'tickLog': 1, 'pos': 60, 'h_lines': 5906.5, 'l_lines': 5874.5, 'last_bef': 5881.0, 'last_aft': 5881.0, 'atr': 3.65, 'sma': 5896.1}
2019-05-07 13:01:51,005 - INFO - market_maker - run_loop - MarketReport -{'last': 5881.5, 'buy': 5881.0, 'sell': 5881.5, 'mid': 5881.0, 'tickLog': 1, 'pos': 40, 'h_lines': 5906.5, 'l_lines': 5874.5, 'last_bef': 5881.5, 'last_aft': 5881.5, 'atr': 3.65, 'sma': 5896.1}
2019-05-07 13:02:21,310 - INFO - market_maker - run_loop - MarketReport -{'last': 5876.5, 'buy': 5876.0, 'sell': 5876.5, 'mid': 5876.0, 'tickLog': 1, 'pos': 20, 'h_lines': 5906.5, 'l_lines': 5873.5, 'last_bef': 5876.5, 'last_aft': 5876.5, 'atr': 4.275, 'sma': 5894.925}
2019-05-07 13:02:41,808 - INFO - market_maker - run_loop - MarketReport -{'last': 5877.5, 'buy': 5877.5, 'sell': 5878.0, 'mid': 5878.0, 'tickLog': 1, 'pos': -80, 'h_lines': 5906.5, 'l_lines': 5873.5, 'last_bef': 5878.0, 'last_aft': 5878.0, 'atr': 4.275, 'sma': 5894.925}
2019-05-07 13:02:58,612 - INFO - market_maker - run_loop - MarketReport -{'last': 5882.5, 'buy': 5882.5, 'sell': 5883.0, 'mid': 5883.0, 'tickLog': 1, 'pos': -340, 'h_lines': 5906.5, 'l_lines': 5873.5, 'last_bef': 5881.5, 'last_aft': 5881.5, 'atr': 4.275, 'sma': 5894.925}
2019-05-07 13:03:12,520 - INFO - market_maker - run_loop - MarketReport -{'last': 5886.0, 'buy': 5885.0, 'sell': 5885.5, 'mid': 5885.0, 'tickLog': 1, 'pos': -440, 'h_lines': 5906.5, 'l_lines': 5873.5, 'last_bef': 5885.5, 'last_aft': 5885.5, 'atr': 4.725, 'sma': 5894.225}
2019-05-07 13:03:20,850 - INFO - market_maker - run_loop - MarketReport -{'last': 5889.0, 'buy': 5888.5, 'sell': 5889.0, 'mid': 5889.0, 'tickLog': 1, 'pos': -500, 'h_lines': 5906.5, 'l_lines': 5873.5, 'last_bef': 5888.5, 'last_aft': 5888.5, 'atr': 4.725, 'sma': 5894.225}
2019-05-07 13:03:30,631 - INFO - market_maker - run_loop - MarketReport -{'last': 5890.0, 'buy': 5890.0, 'sell': 5890.5, 'mid': 5890.0, 'tickLog': 1, 'pos': -620, 'h_lines': 5906.5, 'l_lines': 5873.5, 'last_bef': 5890.0, 'last_aft': 5890.0, 'atr': 4.725, 'sma': 5894.225}
2019-05-07 13:03:41,565 - INFO - market_maker - run_loop - MarketReport -{'last': 5890.5, 'buy': 5890.0, 'sell': 5890.5, 'mid': 5890.0, 'tickLog': 1, 'pos': -620, 'h_lines': 5906.5, 'l_lines': 5873.5, 'last_bef': 5890.5, 'last_aft': 5890.5, 'atr': 4.725, 'sma': 5894.225}
2019-05-07 13:03:51,138 - INFO - market_maker - run_loop - MarketReport -{'last': 5894.0, 'buy': 5893.5, 'sell': 5894.0, 'mid': 5894.0, 'tickLog': 1, 'pos': -780, 'h_lines': 5906.5, 'l_lines': 5873.5, 'last_bef': 5894.0, 'last_aft': 5894.0, 'atr': 4.725, 'sma': 5894.225}
2019-05-07 13:04:01,092 - INFO - market_maker - run_loop - MarketReport -{'last': 5893.5, 'buy': 5893.5, 'sell': 5894.0, 'mid': 5894.0, 'tickLog': 1, 'pos': -840, 'h_lines': 5906.5, 'l_lines': 5873.5, 'last_bef': 5893.5, 'last_aft': 5893.5, 'atr': 5.075, 'sma': 5894.2}
2019-05-07 13:04:10,677 - INFO - market_maker - run_loop - MarketReport -{'last': 5894.5, 'buy': 5894.0, 'sell': 5894.5, 'mid': 5894.0, 'tickLog': 1, 'pos': -1000, 'h_lines': 5906.5, 'l_lines': 5873.5, 'last_bef': 5894.0, 'last_aft': 5894.0, 'atr': 5.075, 'sma': 5894.2}
2019-05-07 13:04:22,166 - INFO - market_maker - run_loop - MarketReport -{'last': 5896.0, 'buy': 5895.5, 'sell': 5896.0, 'mid': 5896.0, 'tickLog': 1, 'pos': -1060, 'h_lines': 5906.5, 'l_lines': 5873.5, 'last_bef': 5895.5, 'last_aft': 5895.5, 'atr': 5.075, 'sma': 5894.2}
2019-05-07 13:04:31,827 - INFO - market_maker - run_loop - MarketReport -{'last': 5896.0, 'buy': 5895.5, 'sell': 5896.0, 'mid': 5896.0, 'tickLog': 1, 'pos': -1020, 'h_lines': 5906.5, 'l_lines': 5873.5, 'last_bef': 5895.5, 'last_aft': 5895.5, 'atr': 5.075, 'sma': 5894.2}
2019-05-07 13:04:41,054 - INFO - market_maker - run_loop - MarketReport -{'last': 5895.5, 'buy': 5895.5, 'sell': 5896.0, 'mid': 5896.0, 'tickLog': 1, 'pos': -1060, 'h_lines': 5906.5, 'l_lines': 5873.5, 'last_bef': 5896.0, 'last_aft': 5896.0, 'atr': 5.075, 'sma': 5894.2}
2019-05-07 13:05:10,980 - INFO - market_maker - run_loop - MarketReport -{'last': 5898.0, 'buy': 5897.5, 'sell': 5898.0, 'mid': 5898.0, 'tickLog': 1, 'pos': -1480, 'h_lines': 5906.5, 'l_lines': 5873.5, 'last_bef': 5896.5, 'last_aft': 5896.5, 'atr': 5.45, 'sma': 5894.275}
2019-05-07 13:05:31,658 - INFO - market_maker - run_loop - MarketReport -{'last': 5900.0, 'buy': 5899.5, 'sell': 5900.0, 'mid': 5900.0, 'tickLog': 1, 'pos': -1600, 'h_lines': 5906.5, 'l_lines': 5873.5, 'last_bef': 5899.5, 'last_aft': 5899.5, 'atr': 5.45, 'sma': 5894.275}
2019-05-07 13:06:01,018 - INFO - market_maker - run_loop - MarketReport -{'last': 5904.0, 'buy': 5903.5, 'sell': 5904.0, 'mid': 5904.0, 'tickLog': 1, 'pos': -1780, 'h_lines': 5906.5, 'l_lines': 5873.5, 'last_bef': 5904.0, 'last_aft': 5904.0, 'atr': 5.425, 'sma': 5894.575}
2019-05-07 13:06:11,757 - INFO - market_maker - run_loop - MarketReport -{'last': 5903.5, 'buy': 5903.5, 'sell': 5904.0, 'mid': 5904.0, 'tickLog': 1, 'pos': -1740, 'h_lines': 5906.5, 'l_lines': 5873.5, 'last_bef': 5903.5, 'last_aft': 5903.5, 'atr': 5.425, 'sma': 5894.575}
2019-05-07 13:06:21,007 - INFO - market_maker - run_loop - MarketReport -{'last': 5903.5, 'buy': 5903.5, 'sell': 5904.0, 'mid': 5904.0, 'tickLog': 1, 'pos': -1740, 'h_lines': 5906.5, 'l_lines': 5873.5, 'last_bef': 5903.5, 'last_aft': 5903.5, 'atr': 5.425, 'sma': 5894.575}
2019-05-07 13:06:32,534 - INFO - market_maker - run_loop - MarketReport -{'last': 5903.5, 'buy': 5903.5, 'sell': 5904.0, 'mid': 5904.0, 'tickLog': 1, 'pos': -1660, 'h_lines': 5906.5, 'l_lines': 5873.5, 'last_bef': 5903.5, 'last_aft': 5903.5, 'atr': 5.425, 'sma': 5894.575}
2019-05-07 13:06:40,624 - INFO - market_maker - run_loop - MarketReport -{'last': 5904.0, 'buy': 5903.5, 'sell': 5904.0, 'mid': 5904.0, 'tickLog': 1, 'pos': -1640, 'h_lines': 5906.5, 'l_lines': 5873.5, 'last_bef': 5903.5, 'last_aft': 5903.5, 'atr': 5.425, 'sma': 5894.575}
